robot_count,completed_tasks,total_completion_time,average_task_completion_time,throughput,robot_utilization,average_waiting_time,total_distance,blocked_waiting_count,replication,seed
4,100,497,229.0,0.2012072434607646,0.9808853118712274,3.5,1950,14,1,1000
4,100,523,243.12,0.19120458891013384,0.9660611854684512,2.75,2021,11,2,1001
4,100,509,218.5,0.19646365422396855,0.9739685658153242,3.5,1983,14,3,1002
4,100,511,219.05,0.19569471624266144,0.9354207436399217,3.25,1912,13,4,1003
4,100,523,229.89,0.19120458891013384,0.9646271510516252,4.75,2018,19,5,1004
4,100,506,221.41,0.1976284584980237,0.9718379446640316,3.0,1967,12,6,1005
4,100,484,197.68,0.2066115702479339,0.9307851239669421,6.25,1802,25,7,1006
4,100,488,212.05,0.20491803278688525,0.9713114754098361,4.0,1896,16,8,1007
4,100,496,220.71,0.20161290322580644,0.9425403225806451,3.0,1870,12,9,1008
4,100,494,225.07,0.20242914979757085,0.978744939271255,3.0,1934,12,10,1009
4,100,521,235.75,0.19193857965451055,0.9788867562380038,4.0,2040,16,11,1010
4,100,516,223.15,0.1937984496124031,0.9665697674418605,3.25,1995,13,12,1011
4,100,535,235.78,0.18691588785046728,0.9714953271028037,3.0,2079,12,13,1012
4,100,519,221.86,0.1926782273603083,0.9624277456647399,4.5,1998,18,14,1013
4,100,521,225.47,0.19193857965451055,0.9616122840690979,3.75,2004,15,15,1014
4,100,522,224.69,0.19157088122605365,0.9612068965517241,3.75,2007,15,16,1015
4,100,530,238.58,0.18867924528301888,0.9660377358490566,5.75,2048,23,17,1016
4,100,538,233.78,0.18587360594795538,0.9674721189591078,2.5,2082,10,18,1017
4,100,517,227.62,0.19342359767891681,0.9593810444874274,5.0,1984,20,19,1018
4,100,504,217.02,0.1984126984126984,0.9657738095238095,3.0,1947,12,20,1019
4,100,489,220.18,0.20449897750511248,0.9662576687116564,3.0,1890,12,21,1020
4,100,503,219.82,0.1988071570576541,0.9652087475149106,4.25,1942,17,22,1021
4,100,507,218.45,0.19723865877712032,0.967948717948718,4.5,1963,18,23,1022
4,100,484,214.16,0.2066115702479339,0.9777892561983471,3.0,1893,12,24,1023
4,100,462,200.13,0.21645021645021645,0.9626623376623377,5.0,1779,20,25,1024
4,100,553,248.24,0.18083182640144665,0.9724231464737794,2.25,2151,9,26,1025
4,100,489,222.67,0.20449897750511248,0.9800613496932515,4.25,1917,17,27,1026
4,100,530,235.38,0.18867924528301888,0.9830188679245283,2.25,2084,9,28,1027
4,100,507,221.43,0.19723865877712032,0.9551282051282052,3.75,1937,15,29,1028
4,100,480,210.16,0.20833333333333334,0.9640625,2.0,1851,8,30,1029
4,100,480,197.07,0.20833333333333334,0.9739583333333334,3.0,1870,12,31,1030
4,100,463,198.44,0.2159827213822894,0.9665226781857451,3.0,1790,12,32,1031
4,100,474,208.41,0.2109704641350211,0.9541139240506329,5.25,1809,21,33,1032
4,100,498,212.53,0.20080321285140562,0.9738955823293173,1.75,1940,7,34,1033
4,100,502,221.01,0.199203187250996,0.9805776892430279,3.5,1969,14,35,1034
4,100,502,216.04,0.199203187250996,0.9676294820717132,5.0,1943,20,36,1035
4,100,509,224.14,0.19646365422396855,0.9479371316306483,3.75,1930,15,37,1036
4,100,495,213.63,0.20202020202020202,0.9691919191919192,1.5,1919,6,38,1037
4,100,513,226.68,0.1949317738791423,0.9727095516569201,5.75,1996,23,39,1038
4,100,594,254.31,0.16835016835016836,0.9579124579124579,2.25,2276,9,40,1039
4,100,507,228.09,0.19723865877712032,0.9595660749506904,1.75,1946,7,41,1040
4,100,523,243.31,0.19120458891013384,0.9670172084130019,3.5,2023,14,42,1041
4,100,490,218.38,0.20408163265306123,0.9785714285714285,2.75,1918,11,43,1042
4,100,539,245.44,0.18552875695732837,0.9712430426716141,3.0,2094,12,44,1043
4,100,514,230.99,0.19455252918287938,0.9703307392996109,4.0,1995,16,45,1044
4,100,535,238.62,0.18691588785046728,0.9934579439252337,1.0,2126,4,46,1045
4,100,470,220.88,0.2127659574468085,0.973404255319149,2.75,1830,11,47,1046
4,100,489,213.07,0.20449897750511248,0.9611451942740287,4.5,1880,18,48,1047
4,100,534,232.96,0.18726591760299627,0.9709737827715356,3.5,2074,14,49,1048
4,100,530,241.1,0.18867924528301888,0.9665094339622642,3.5,2049,14,50,1049
4,100,500,223.81,0.2,0.9695,5.25,1939,21,51,1050
4,100,516,222.58,0.1937984496124031,0.9549418604651163,2.25,1971,9,52,1051
4,100,481,217.25,0.2079002079002079,0.9656964656964657,5.0,1858,20,53,1052
4,100,481,215.48,0.2079002079002079,0.974012474012474,4.0,1874,16,54,1053
4,100,514,235.23,0.19455252918287938,0.9708171206225681,2.5,1996,10,55,1054
4,100,545,229.17,0.1834862385321101,0.968348623853211,2.75,2111,11,56,1055
4,100,478,211.12,0.20920502092050208,0.981694560669456,2.25,1877,9,57,1056
4,100,545,232.83,0.1834862385321101,0.963302752293578,2.5,2100,10,58,1057
4,100,517,230.15,0.19342359767891681,0.9879110251450677,1.5,2043,6,59,1058
4,100,509,223.99,0.19646365422396855,0.9837917485265226,2.0,2003,8,60,1059
4,100,493,228.45,0.2028397565922921,0.986815415821501,4.5,1946,18,61,1060
4,100,550,221.01,0.18181818181818182,0.9536363636363636,3.5,2098,14,62,1061
4,100,489,218.06,0.20449897750511248,0.9652351738241309,3.5,1888,14,63,1062
4,100,524,239.45,0.19083969465648856,0.9670801526717557,4.0,2027,16,64,1063
4,100,569,252.43,0.1757469244288225,0.9661687170474517,3.25,2199,13,65,1064
4,100,531,238.73,0.18832391713747645,0.9595103578154426,2.0,2038,8,66,1065
4,100,460,211.63,0.21739130434782608,0.9853260869565217,3.5,1813,14,67,1066
4,100,500,218.98,0.2,0.9525,2.5,1905,10,68,1067
4,100,503,227.22,0.1988071570576541,0.9756461232604374,2.25,1963,9,69,1068
4,100,483,225.77,0.2070393374741201,0.9736024844720497,3.0,1881,12,70,1069
4,100,515,237.84,0.1941747572815534,0.9689320388349515,3.5,1996,14,71,1070
4,100,476,220.64,0.21008403361344538,0.9611344537815126,4.75,1830,19,72,1071
4,100,475,206.08,0.21052631578947367,0.9873684210526316,1.5,1876,6,73,1072
4,100,492,220.84,0.2032520325203252,0.9735772357723578,5.5,1916,22,74,1073
4,100,458,202.63,0.2183406113537118,0.9546943231441049,4.0,1749,16,75,1074
4,100,506,219.49,0.1976284584980237,0.9644268774703557,1.5,1952,6,76,1075
4,100,521,234.92,0.19193857965451055,0.9798464491362764,3.25,2042,13,77,1076
4,100,552,236.53,0.18115942028985507,0.9692028985507246,0.25,2140,1,78,1077
4,100,476,212.19,0.21008403361344538,0.979516806722689,4.0,1865,16,79,1078
4,100,522,234.61,0.19157088122605365,0.9693486590038314,3.25,2024,13,80,1079
4,100,489,210.41,0.20449897750511248,0.9631901840490797,2.75,1884,11,81,1080
4,100,508,218.7,0.1968503937007874,0.9547244094488189,3.0,1940,12,82,1081
